IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,OPERATOR-NUM,OPERATORS
SON,66.44,25.12,138.76,19.06,Sonmiani,1,INTERMAGNET
AMU,210.10,61.20,-97.02,60.86,Anchorage,1,THEMIS
YKC,245.52,62.48,-61.69,69.83,Yellowknife,2,CANMOS,INTERMAGNET
CBB,255.00,69.10,-54.57,77.63,Cambridge Bay,2,CANMOS,INTERMAGNET
RES,265.11,74.69,-46.02,83.79,Resolute Bay,2,CANMOS,INTERMAGNET
BLC,263.97,64.33,-35.06,74.59,Baker Lake,2,CANMOS,INTERMAGNET
MEA,246.65,54.62,-55.81,62.38,Meanook,2,CANMOS,INTERMAGNET
SIT,224.67,57.07,-81.44,59.91,Sitka,2,INTERMAGNET,USGS
PBQ,282.26,55.28,-2.20,66.68,Poste de la Baleine,2,CANMOS,INTERMAGNET
MEK,30.97,62.77,109.42,58.72,Mekrijaervi,2,IMAGE,EMMA
STJ,307.32,47.60,31.55,55.00,St Johns,2,CANMOS,INTERMAGNET
ALE,297.50,82.50,112.55,86.98,Alert,2,CANMOS,INTERMAGNET
LRV,338.30,64.18,69.03,65.39,Leirvogur,1,INTERMAGNET
BOU,254.77,40.13,-41.34,49.26,Boulder,2,INTERMAGNET,USGS
FRN,240.30,37.10,-56.96,43.16,Fresno,2,INTERMAGNET,USGS
VIC,236.58,48.52,-64.97,54.01,Victoria,2,CANMOS,INTERMAGNET
NEW,242.88,48.27,-57.81,55.14,Newport,2,INTERMAGNET,USGS
LOV,17.83,59.35,97.11,55.78,Lovo,1,INTERMAGNET
LER,358.82,60.13,82.56,58.13,Lerwick,3,BGS,SAMNET,INTERMAGNET
VAL,349.75,51.93,71.82,50.03,Valentia,1,INTERMAGNET
HAD,355.52,50.98,76.00,48.14,Hartland,3,BGS,SAMNET,INTERMAGNET
ESK,356.80,55.32,78.68,53.06,Eskdalemuir,3,BGS,SAMNET,INTERMAGNET
MAB,5.68,50.30,83.83,46.42,Manhay,1,INTERMAGNET
DOU,4.60,50.10,82.89,46.25,Dourbes,1,INTERMAGNET
BFE,11.67,55.62,90.57,52.13,Brorfelde,3,DTUSpace,INTERMAGNET,TROMSOE
CLF,2.27,48.02,80.38,43.85,Chambon la foret,2,INTERMAGNET,BCMT
OTT,284.45,45.40,0.16,56.94,Ottawa,2,CANMOS,INTERMAGNET
WNG,9.07,53.75,87.76,50.21,Wingst,2,GFZ,INTERMAGNET
VRE,292.38,-17.28,3.34,-4.49,Villa Remedios,1,GFZ
SHE,354.27,-15.95,61.91,-22.45,St. Helena,1,GFZ
SMA,334.87,36.99,56.10,33.61,Santa Maria/Azoren,1,GFZ
PNL,303.82,16.68,21.60,25.27,Pantanal,1,GFZ
THY,17.54,46.90,92.72,41.93,Tihany,2,INTERMAGNET,EMMA
BEL,20.80,51.83,96.83,47.57,Belsk,2,INTERMAGNET,EMMA
FUR,11.28,48.17,87.76,43.58,Furstenfeldbruk,1,INTERMAGNET
NGK,12.68,52.07,90.11,48.11,Niemegk,2,GFZ,INTERMAGNET
BDV,14.02,49.07,90.30,44.58,Budkov,1,INTERMAGNET
FRD,282.63,38.20,-3.31,49.97,Fredericksburg,2,INTERMAGNET,USGS
CRP,275.09,10.44,-14.80,21.70,Chiripa,1,INTERMAGNET
HYB,78.60,17.40,150.75,10.05,Hyderabad,2,GFZ,INTERMAGNET
IPM,250.58,-27.20,-33.47,-20.14,Isla de Pascua,2,INTERMAGNET,BCMT
KMH,18.11,-26.54,84.01,-36.47,Keetmanshoop,2,GFZ,INTERMAGNET
NMP,39.25,-15.09,109.48,-25.75,Nampula,1,INTERMAGNET
DED,211.21,70.36,-103.94,70.24,Deadhorse,2,INTERMAGNET,USGS
KEP,323.51,-54.28,24.78,-42.90,King Edward Point,2,INTERMAGNET,BGS
CDP,256.30,31.00,-37.87,40.03,Chengdu,1,INTERMAGNET
DMC,235.83,-75.25,-15.65,-65.06,Dome Concordia,2,INTERMAGNET,BCMT
LON,16.66,45.41,91.60,40.11,Lonjsko Polje,1,INTERMAGNET
SPG,29.72,60.54,107.40,56.50,Saint Petersburg,1,INTERMAGNET
TAB,291.18,76.54,31.96,85.15,Thule Air Base,1,DTUSpace
ROE,8.55,55.17,87.88,51.83,Roemoe,2,DTUSpace,TROMSOE
THL,290.77,77.47,35.79,85.94,Qaanag,2,DTUSpace,INTERMAGNET
SVS,294.90,76.02,38.02,84.20,Savissivik,1,DTUSpace
KUV,302.82,74.57,46.74,81.74,Kullorsuaq,1,DTUSpace
UPN,303.85,72.78,43.86,80.04,Upernavik,1,DTUSpace
UMQ,307.87,70.68,45.62,77.46,Uummannaq,1,DTUSpace
GDH,306.47,69.25,41.84,76.42,Godhavn,2,DTUSpace,INTERMAGNET
ATU,306.43,67.93,40.28,75.20,Attu,1,DTUSpace
STF,309.28,67.02,42.99,73.81,Kangerlussuaq,1,DTUSpace
SKT,307.10,65.42,38.86,72.72,Maniitsoq,1,DTUSpace
GHB,308.27,64.17,39.39,71.29,Nuuk,1,DTUSpace
FHB,310.32,62.00,40.45,68.77,Paamiut,1,DTUSpace
NAQ,314.56,61.16,44.77,67.04,Narssarssuaq,2,DTUSpace,INTERMAGNET
NRD,343.33,81.60,108.77,80.83,Nord,1,DTUSpace
DMH,341.37,76.77,89.38,77.26,Danmarkshavn,1,DTUSpace
DNB,339.78,74.30,82.56,75.24,Daneborg,1,DTUSpace
SCO,338.03,70.48,75.06,71.83,Ittoqqortoormiit,1,DTUSpace
AMK,322.37,65.60,56.02,69.83,Tasiilaq,1,DTUSpace
MCN,322.38,73.93,67.63,77.73,Magic1 north,1,DTUSpace
MCE,326.10,72.40,67.97,75.69,Magic1 east,1,DTUSpace
MCW,317.41,72.00,58.89,76.89,Magic1 west,1,DTUSpace
MCG,321.65,72.60,64.22,76.67,Magic2 GISP,1,DTUSpace
MCR,313.71,66.48,47.71,72.43,Magic2 Raven,1,DTUSpace
TDC,347.69,-37.10,47.71,-38.18,Tristan de Cunha,4,DTUSpace,INTERMAGNET,TROMSOE,GFZ
SUM,321.70,72.30,63.72,76.38,Summit,2,DTUSpace,THEMIS
HOV,353.20,61.50,79.01,60.28,Faroe Island,2,DTUSpace,THEMIS
GIM,265.36,56.38,-29.93,67.26,Gillam,3,CARISMA,THEMIS,CANOPUS
TAL,266.45,69.54,-34.17,79.53,Taloyoak,1,CARISMA
CNL,248.75,65.75,-60.12,73.52,Contwoyto Lake,1,CARISMA
DAW,220.89,64.05,-89.63,65.99,Dawson City,1,CARISMA
EKP,265.95,61.11,-30.27,71.82,Eskimo Point,2,CARISMA,CANOPUS
FCC,265.92,58.76,-29.61,69.60,Fort Churchill,4,CARISMA,CANOPUS,INTERMAGNET,CANMOS
FMC,248.79,56.66,-54.00,64.85,Fort McMurray,2,CARISMA,BGS
FSP,238.77,61.76,-69.43,67.71,Fort Simpson,2,CARISMA,THEMIS
SMI,248.05,60.02,-56.74,67.98,Fort Smith,2,CARISMA,THEMIS
ISL,265.34,53.86,-29.44,64.82,Island Lake,2,CARISMA,CANOPUS
PIN,263.96,50.20,-30.88,61.05,Pinawa,3,CARISMA,THEMIS,CANOPUS
RAL,256.32,58.22,-44.32,67.78,Rabbit Lake,1,CARISMA
RAN,267.89,62.82,-27.50,73.58,Rankine Inlet,3,CARISMA,THEMIS,CANOPUS
NOR,25.79,71.09,110.92,67.35,Nordkapp,2,TROMSOE,IMAGE
NAL,11.95,78.92,113.66,75.86,New Aalesund,2,TROMSOE,IMAGE
LYR,15.83,78.20,114.33,74.90,Longyearbyen,2,TROMSOE,IMAGE
JAN,351.30,70.90,85.67,70.31,Jan Mayen,1,TROMSOE
HOP,25.01,76.51,117.06,72.68,Hopen Island,2,TROMSOE,IMAGE
BJN,19.20,74.50,110.10,71.14,Bear Island,2,TROMSOE,IMAGE
SOR,22.22,70.54,107.74,67.01,Soeroeya,2,TROMSOE,IMAGE
TRO,18.94,69.66,104.50,66.34,Tromso,2,TROMSOE,IMAGE
AND,16.03,69.30,102.01,66.18,Andenes,2,TROMSOE,IMAGE
JCK,16.98,66.40,100.42,63.15,Jaeckvik,2,TROMSOE,IMAGE
DON,12.50,66.11,96.79,63.17,Doenna,2,TROMSOE,IMAGE
RVK,10.99,64.94,94.82,62.08,Roervik,2,TROMSOE,IMAGE
DOB,9.11,62.07,91.60,59.23,Dombas,2,TROMSOE,IMAGE
SOL,4.84,61.08,87.73,58.55,Solund,2,TROMSOE,IMAGE
KAR,5.24,59.21,87.06,56.51,Karmoey ,2,TROMSOE,IMAGE
HRN,15.60,77.00,111.76,73.80,Hornsund,2,IMAGE,INTERMAGNET
ALT,22.96,69.86,107.68,66.28,Alta,1,IMAGE
KEV,27.01,69.76,110.66,65.96,Kevo,2,IMAGE,EMMA
MAS,23.70,69.46,107.90,65.84,Masi,2,IMAGE,EMMA
KIL,20.79,69.02,105.33,65.57,Kilpisjarvi,3,IMAGE,EMMA,SAMNET
KAU,23.05,69.02,107.04,65.43,Kautokeino,1,IMAGE
IVA,27.29,68.56,109.93,64.74,Ivalo,2,IMAGE,EMMA
ABK,18.82,68.35,103.29,65.02,Abisko,2,IMAGE,INTERMAGNET
LEK,13.54,68.13,99.14,65.17,Leknes,1,IMAGE
MUO,23.53,68.02,106.62,64.39,Muonio,2,IMAGE,EMMA
LOZ,35.08,67.97,115.63,63.81,Lovozero,2,IMAGE,AARI
KIR,20.42,67.84,104.10,64.40,Kiruna,1,IMAGE
SOD,26.63,67.37,108.56,63.57,Sodankyla,3,IMAGE,EMMA,INTERMAGNET
PEL,24.08,66.90,106.24,63.23,Pello,2,IMAGE,EMMA
LYC,18.75,64.61,100.60,61.19,Lycksele,2,IMAGE,INTERMAGNET
OUJ,27.23,64.52,107.27,60.65,Oulujarvi,2,IMAGE,SAMNET
HAN,26.65,62.30,105.65,58.41,Hankasalmi,3,IMAGE,EMMA,SAMNET
NUR,24.65,60.50,103.18,56.65,Nurmajarvi,4,IMAGE,EMMA,SAMNET,INTERMAGNET
UPS,17.35,59.90,96.98,56.38,Uppsala,3,IMAGE,SAMNET,INTERMAGNET
TAR,26.46,58.26,103.77,54.26,Tartu,2,IMAGE,EMMA
BRW,203.25,71.30,-110.92,69.81,Barrow,3,GIMA,USGS,INTERMAGNET
KAV,216.63,70.07,-99.32,70.97,Kaktovik,2,GIMA,INTERMAGNET
KOT,197.40,66.88,-110.78,64.38,Kotzebue,2,GIMA,210MM
ARC,214.43,68.13,-98.91,68.67,Arctic Village,1,GIMA
INK,226.70,68.25,-88.28,71.27,Inuvik,3,GIMA,AUTUMN,THEMIS
